[0.000000] (-) TimerEvent: {}
[0.000127] (-) JobUnselected: {'identifier': 'bumperbot_bringup'}
[0.000623] (-) JobUnselected: {'identifier': 'bumperbot_controller'}
[0.000645] (-) JobUnselected: {'identifier': 'bumperbot_cpp_examples'}
[0.000654] (-) JobUnselected: {'identifier': 'bumperbot_description'}
[0.000661] (-) JobUnselected: {'identifier': 'bumperbot_localization'}
[0.000668] (-) JobUnselected: {'identifier': 'bumperbot_mapping'}
[0.000674] (-) JobUnselected: {'identifier': 'bumperbot_motion'}
[0.000681] (-) JobUnselected: {'identifier': 'bumperbot_msgs'}
[0.000687] (-) JobUnselected: {'identifier': 'bumperbot_navigation'}
[0.000693] (-) JobUnselected: {'identifier': 'bumperbot_planning'}
[0.000699] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000705] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000712] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000718] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000724] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000730] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000736] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000742] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000748] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000758] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000765] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000771] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000777] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000783] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000790] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000796] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000803] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000809] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.000815] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000822] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000828] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000834] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000841] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000847] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000853] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000859] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000865] (-) JobUnselected: {'identifier': 'nav2_route'}
[0.000872] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000878] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000884] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000890] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000896] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000903] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000909] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000915] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000921] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000927] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000933] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000939] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000947] (nav2_smoother) JobQueued: {'identifier': 'nav2_smoother', 'dependencies': OrderedDict({'nav2_common': '/bumperbot_ws/install/nav2_common', 'nav_2d_msgs': '/bumperbot_ws/install/nav_2d_msgs', 'nav2_msgs': '/bumperbot_ws/install/nav2_msgs', 'nav2_voxel_grid': '/bumperbot_ws/install/nav2_voxel_grid', 'nav2_util': '/bumperbot_ws/install/nav2_util', 'nav2_lifecycle_manager': '/bumperbot_ws/install/nav2_lifecycle_manager', 'nav2_map_server': '/bumperbot_ws/install/nav2_map_server', 'nav_2d_utils': '/bumperbot_ws/install/nav_2d_utils', 'nav2_costmap_2d': '/bumperbot_ws/install/nav2_costmap_2d', 'nav2_core': '/bumperbot_ws/install/nav2_core'})}
[0.001048] (nav2_smoother) JobStarted: {'identifier': 'nav2_smoother'}
[0.008723] (nav2_smoother) JobEnded: {'identifier': 'nav2_smoother', 'rc': 1}
[0.019060] (-) EventReactorShutdown: {}
